x/d,Reb,Prb,Bo,Cp_bar/Cpb,Dens_w/Dens_b,Nu
9.58984375,3751.029455,2.888425984,3.00E-06,2.018921979,0.277382389,26.29399082
9.62890625,3751.900386,2.889425085,3.00E-06,2.014753605,0.277132611,26.2315361
9.66796875,3752.780937,2.890447352,3.00E-06,2.010519491,0.276895114,26.1699466
9.70703125,3753.671212,2.891492646,3.00E-06,2.006250674,0.27665526,26.10809914
9.74609375,3754.566556,2.892552138,3.00E-06,2.001951621,0.276412655,26.04630616
9.78515625,3755.459887,2.893612496,3.00E-06,1.9976484,0.276168202,25.98298622
9.82421875,3756.346905,2.89466478,3.00E-06,1.993368706,0.275923305,25.91840631
9.86328125,3757.228837,2.895709151,3.00E-06,1.989131159,0.275679423,25.85544974
9.90234375,3758.110182,2.896750603,3.00E-06,1.984937116,0.275437087,25.79494568
9.94140625,3758.993346,2.897789804,3.00E-06,1.980783347,0.275196139,25.73641333
9.98046875,3759.87687,2.898821452,3.00E-06,1.976668457,0.274956086,25.67915995
10.01953125,3760.760106,2.899844641,3.00E-06,1.972592769,0.274716913,25.62285669
10.05859375,3761.645939,2.900868976,3.00E-06,1.968553747,0.274479212,25.56745151
10.09765625,3762.538643,2.901908127,3.00E-06,1.964550232,0.274244014,25.51316942
10.13671875,3763.440618,2.902970338,3.00E-06,1.960581959,0.274011995,25.46029329
10.17578125,3764.352167,2.904057369,3.00E-06,1.956650147,0.273783437,25.40893885
10.21484375,3765.27417,2.905170399,3.00E-06,1.952756661,0.273558631,25.35947632
10.25390625,3766.208399,2.906311721,3.00E-06,1.948894035,0.27333933,25.31223053
10.29296875,3767.15464,2.907479534,3.00E-06,1.945016946,0.273137822,25.26554106
10.33203125,3768.10914,2.908664268,3.00E-06,1.941172555,0.27293883,25.21614628
10.37109375,3769.066413,2.909852158,3.00E-06,1.937356585,0.272740998,25.16529173
10.41015625,3770.022108,2.911032366,3.00E-06,1.933564677,0.272543177,25.11580568
10.44921875,3770.974685,2.912201353,3.00E-06,1.929787435,0.272344387,25.06660064
