,StopID,Days,Hours,Predict,Target,APE
562,20,10,3,2160.41,2144,0.007652
563,21,10,3,2345.96,2313,0.014249000000000001
564,22,10,3,2397.68,2357,0.017259
565,0,10,12,132.32,130,0.017871
566,1,10,12,287.76,290,0.007723999999999999
567,2,10,12,381.47,390,0.021866999999999998
568,3,10,12,698.09,740,0.056634000000000004
569,4,10,12,757.28,800,0.053403
570,5,10,12,871.67,920,0.05252999999999999
571,6,10,12,934.35,982,0.048527999999999995
572,7,10,12,1104.51,1156,0.044538
573,8,10,12,1169.57,1218,0.039764999999999995
574,9,10,13,1291.92,1340,0.035882
575,11,10,13,1404.35,1440,0.02476
576,13,10,13,1525.06,1554,0.018625
577,14,10,13,1723.25,1750,0.015286000000000001
578,15,10,13,1784.27,1801,0.009290999999999999
579,16,10,13,1931.16,1939,0.004043
580,17,10,13,2034.18,2035,0.00040199999999999996
581,18,10,13,2114.67,2115,0.000157
582,19,10,13,2220.32,2205,0.006948
583,20,10,13,2642.55,2605,0.014416
584,21,10,13,2834.18,2805,0.010404
585,22,10,13,2897.88,2865,0.011476
586,0,6,5,159.15,133,0.196588
587,1,6,5,337.01,333,0.012036
588,2,6,5,472.27,473,0.001553
589,3,6,6,622.69,653,0.046423
590,4,6,6,684.98,723,0.052584000000000006
591,5,6,6,781.82,833,0.061435000000000003
592,6,6,6,860.75,913,0.057229999999999996
593,7,6,6,1041.52,1083,0.038301
594,8,6,6,1126.17,1163,0.031664
595,9,6,6,1303.21,1323,0.014961000000000002
596,10,6,6,1369.84,1393,0.016628999999999998
597,11,6,6,1478.39,1503,0.016372
598,13,6,6,1598.55,1621,0.013847
599,14,6,6,1694.3,1714,0.011491
600,15,6,6,1787.58,1791,0.0019079999999999998
601,16,6,6,1920.68,1911,0.005067
602,17,6,6,2038.44,2021,0.008631
603,18,6,6,2132.1,2111,0.009994
604,19,6,6,2248.04,2231,0.0076359999999999996
605,20,6,6,2547.5,2531,0.006520000000000001
606,21,6,6,2737.94,2711,0.009937
607,22,6,6,2802.95,2781,0.007893
608,0,6,10,193.59,180,0.075494
609,1,6,10,394.27,370,0.065608
610,2,6,10,476.49,460,0.035845999999999996
611,3,6,10,659.44,650,0.014523
612,4,6,10,771.96,760,0.015731000000000002
613,7,6,10,905.67,889,0.018754
614,8,6,10,969.18,950,0.020193
615,9,6,10,1130.18,1120,0.009093
616,11,6,10,1218.74,1219,0.000212
617,13,6,10,1411.53,1412,0.000331
618,14,6,10,1532.56,1515,0.011593000000000001
619,15,6,10,1629.78,1613,0.010406
620,17,6,11,1728.37,1706,0.013112
621,18,6,11,1868.43,1846,0.012151
622,19,6,11,1964.43,1956,0.0043100000000000005
623,20,6,11,2286.67,2286,0.000291
624,21,6,11,2447.04,2441,0.0024739999999999996
625,22,6,11,2497.36,2486,0.00457
626,0,1,7,97.3,90,0.081069
627,1,1,7,289.55,300,0.034847
628,3,1,7,482.34,500,0.035325999999999996
